key	英文原文	当前中文	修改列(填这里覆盖)	备注
About.Assets	ASSETS	素材		
About.Contributors	CONTRIBUTORS	贡献者		
About.CoreTeam	CORE TEAM	核心团队		
About.FliteTts	Flite TTS	Flite TTS		
About.FliteTtsBy	by Carnegie Mellon University	由卡内基梅隆大学制作		
About.Job.Art	Art	美术		
About.Job.Audio	Audio	音效		
About.Job.Code	Code	代码		
About.Job.CodeAndDesign	Code & Design	代码与设计		
About.Job.Design	Design	设计		
About.RobotoFont	Roboto Font	Roboto 字体		
About.RobotoFontBy	by Christian Robertson	由 Christian Robertson 制作		
Account.Dialog.DeleteAccount	Delete Account	删除账户		
Account.Dialog.Header	LOGIN TO EXISTING ACCOUNT	登录已有账户		
Account.Dialog.LoggedInAs	Logged in as:	已登录为：		
Account.Dialog.Logout	LOG OUT	注销		
Account.Dialog.LostPassword.Link	Click Here	点此		
Account.Dialog.LostPassword.Prefix	Lost your password? 	忘记密码？ 		
Account.Dialog.Password.Placeholder	Password	密码		
Account.Dialog.Register.Link	Register Here	点此注册		
Account.Dialog.Register.Prefix	Don't have an account? 	还没有账户？ 		
Account.Dialog.Username.Placeholder	Username	用户名		
Account.Dialog.ViewProfile	View Profile	查看资料		
AddNoiseViewModel.NoDescriptionProvided	No description has been provided.	未提供说明。		
AddNoiseViewModel.RecentlyUsedFilter	Recently Used	最近使用		
AddNoiseViewModel.RecentlyUsedFilterDescription	Show recently used at the top of the list.	在列表顶部显示最近使用的项。		
AddNoiseViewModel.RecentlyUsedSubtitle	Recently used	最近使用		
AddNoiseViewModel.Title	Add Noise Modifier	添加噪声修改器		
Career.Contracts.Any.DescriptionFormat	Complete at least {0}	至少完成 {0}		
Career.Contracts.Any.DisplayValueFormat	{0} Complete	{0} 已完成		
Career.Contracts.CompletedFormat	The contract '{0}' has been completed!	合约「{0}」已完成！		
Career.Contracts.CompletedReward	You have completed the contract [highlight]{0}[/highlight]	你完成了合约 [highlight]{0}[/highlight]		
Career.Contracts.CraftEvent.Destroyed	Destroyed	已损毁		
Career.Contracts.CraftEvent.Docked	Docked	已对接		
Career.Contracts.CraftEvent.Explosion	Explosion	爆炸		
Career.Contracts.FailedLog	Contract failed: {0} and player has lost {1}	合约失败：{0}，玩家损失 {1}		
Career.Contracts.Difficulty.Easy	Easy	简单		
Career.Contracts.Difficulty.Hard	Hard	困难		
Career.Contracts.Difficulty.Medium	Medium	中等		
Career.Contracts.FailedFormat	The contract '{0}' has been failed!	合约「{0}」已失败！		
Career.Contracts.Location.GetToFormat	Get to {0}	前往 {0}		
Career.Contracts.Location.TargetTooltip	Target Location	目标位置		
Career.Contracts.Payload.Destroyed	Destroyed	已损毁		
Career.Contracts.Payload.FoundConfirmation	We found it! Please, carry on with your rocket science.	我们找到了！请继续你的火箭研究。		
Career.Contracts.Payload.LaunchWithFormat	Launch with {0}	搭载 {0} 发射		
Career.Contracts.Payload.LostPrompt	We can't find the payload part. Would you like me to check your current craft for it?	找不到载荷零件。要我在当前载具中检查一下吗？		
Career.Contracts.Payload.MissingTooltip	Payload is missing	缺少载荷		
Career.Contracts.Payload.Nominal	Nominal	正常		
Career.Contracts.Payload.NotFoundError	Sadly, we could not find the payload part in this craft.	很遗憾，在此载具中找不到载荷零件。		
Career.Contracts.Payload.WarpBlocked	Cannot warp while carrying this payload.	携带此载荷时无法进行时间加速。		
Career.Contracts.Payloads.VehicleContainer.Name	Vehicle Container	载具容器		
Career.Contracts.Payloads.SuppliesContainer.Name	Supplies Container	补给容器		
Career.Contracts.Payloads.LunarImpactor.Name	Lunar Impactor	月球撞击器		
Career.Contracts.Payloads.LunarLander.Name	Lunar Lander	月球着陆器		
Career.Contracts.Payloads.LunarRover.Name	Lunar Rover	月球巡视车		
Career.Contracts.Payloads.FragileCrate.Name	Fragile Crate	易碎货箱		
Career.Contracts.Payloads.StrandedDrood.Name	Stranded Drood	受困 Drood		
Career.Contracts.Payloads.TravelerProbe.Name	Traveler Probe	旅行者探测器		
Career.Contracts.PayloadDetached.DefaultDescription	Detach the payload	分离载荷		
Career.Contracts.TrackedLaunch.DefaultDescription	Launch a new craft	发射新载具		
Career.Contracts.TrackedLaunch.FlightDescription	This contract is assigned to other craft<br>Click the button to update it	此合约已分配给其他载具<br>点击按钮进行更新		
Career.Contracts.TrackedLaunch.TrackThisCraftPrompt	Would you like to start tracking this craft instead?	要改为跟踪此载具吗？		
Career.Contracts.TrackedLaunch.TrackTooltip	Track this craft	跟踪此载具		
Career.Contracts.TrackedLaunch.WrongCraft	Wrong Craft	载具错误		
Career.Contracts.TrackSpawnedCraft.Destroyed	Destroyed	已损毁		
Career.Exploration.Contact	Contact with the surface	与地表接触		
Career.Exploration.FlyBy	Fly-By (hyperbolic orbit)	飞掠（双曲轨道）		
Career.Exploration.LandmarkFound	Landmark '{0}' found!	发现地标「{0}」！		
Career.Exploration.LandmarkVisited	You have visited the landmark [highlight]{0}[/highlight]	你访问了地标 [highlight]{0}[/highlight]		
Career.Exploration.Landmarks	Visited all landmarks	访问所有地标		
Career.Exploration.Milestones	Completed all milestones	完成所有里程碑		
Career.Exploration.Orbit	Elliptical orbit	椭圆轨道		
Career.LocationNode.PointOfInterest	Point of Interest	兴趣点		
Career.Milestones.Complete	COMPLETE	已完成		
Career.Milestones.TierComplete	Milestone '{0}' tier {1} complete	里程碑「{0}」第 {1} 级完成		
Career.Milestones.TierCompleteReward	You have completed tier [highlight]{0}[/highlight] of [highlight]{1}[/highlight] by exceeding {2}\n\n<size=85%><color=#ffffff50>{3}</color></size>	你超额达成 {2}，完成了 [highlight]{1}[/highlight] 的第 [highlight]{0}[/highlight] 级\n\n<size=85%><color=#ffffff50>{3}</color></size>		
Career.Milestones.PlanetPrefixFormat	{0}: 	{0}：		
Career.Milestones.TierLabel	TIER {0}	等级 {0}		
Career.Orbit.BetweenFormat	{0} between {1} & {2}	{0} 在 {1} 与 {2} 之间		
Career.Orbit.PlusMinusFormat	 (±{0})	 （±{0}）		
Career.Orbit.Property.Apoapsis	Apoapsis	远拱点		
Career.Orbit.Property.Eccentricity	Eccentricity	偏心率		
Career.Orbit.Property.Inclination	Inclination	倾角		
Career.Orbit.Property.Periapsis	Periapsis	近拱点		
Career.Race.CheckpointNameFormat	Checkpoint {0}	检查点 {0}		
Career.Race.FlightDescription.GetToStart	Get to the Start Checkpoint	前往起点检查点		
Career.Race.FlightDescription.Go	Go through all the checkpoints	依次通过所有检查点		
Career.Race.FlightDescription.TimeLeftFormat	You have {0} left	剩余 {0}		
Career.Race.FlightDescription.TimeLeftLapsFormat	You have {0} left to complete {1} laps	剩余 {0}，需完成 {1} 圈		
Career.Race.GoalAllCheckpoints	Go through all checkpoints	通过所有检查点		
Career.Race.GoalCompleteLapsFormat	Complete {0} laps	完成 {0} 圈		
Career.Race.GoalInTimeFormat	 in under {0}.	 且用时少于 {0}。		
Career.Race.GoalPeriod	.	。		
Career.Race.GoalTrackDistanceFormat	 Track distance is {0}.	 赛道距离为 {0}。		
Career.Race.NotStarted	Not started	未开始		
Career.Race.StartCheckpointName	Start Checkpoint	起点检查点		
Career.Race.TargetLocationButton	Target Location	目标位置		
Career.Research.InsufficientTechPoints	Insufficient Tech Points	科技点不足		
Career.Research.PartPriceMassFormat	{0}\n\n<b>Price: {1}\nMass: {2}</b>	{0}\n\n<b>价格：{1}\n质量：{2}</b>		
Career.Research.RequiresContract	Must complete '{0}' contract	必须完成「{0}」合约		
Career.Research.RequiresParent	Requires {0}	需要 {0}		
Career.Research.UnlockButtonFormat	UNLOCK\n<size=75%>{0} TECH POINTS</size>	解锁\n<size=75%>{0} 科技点</size>		
Career.Research.UnlockMoreInTechTreeSuffix	You can unlock more in the Tech Tree.	你可以在科技树中解锁更多。		
Career.Research.VariablePartSuffix	\n<size=30%>\n</size><size=50%>Base mass and price, subject to change based on the part configuration.</size>	\n<size=30%>\n</size><size=50%>基础质量与价格，会根据零件配置而变化。</size>		
Career.Status.NotYetCompleted	Not Yet Completed	尚未完成		
Career.StringProcessor.Compass.E	E	东		
Career.StringProcessor.Compass.N	N	北		
Career.StringProcessor.Compass.S	S	南		
Career.StringProcessor.Compass.W	W	西		
Career.StringProcessor.MachFormat	Mach {0:n1}	马赫 {0:n1}		
Career.Validation.AstronautCrewNotAvailable	The astronaut does not have an available crew member assigned.	该宇航员没有分配可用的乘员。		
Career.Validation.AstronautNoCrew	The astronaut does not have a crew member assigned.	该宇航员没有分配乘员。		
Career.Validation.BadAttachment	The part is using an invalid attachment. Connecting two shafts to each other isn't supported.	该零件使用了无效的连接方式。不支持将两根轴相互连接。		
Career.Validation.ChamberPressureOutOfRange	The chamber pressure has been tinkered to be out of range.	燃烧室压力已被调整到超出范围。		
Career.Validation.ChuteCordTooLong	The cord is too long.	绳索过长。		
Career.Validation.ChuteRadiusTooLarge	The radius is too large.	半径过大。		
Career.Validation.ClampingNotAvailable	Clamping fuselages is not available yet.	机身夹紧功能尚不可用。		
Career.Validation.CommandBatteryTooLarge	There's too much volume in the command disc dedicated to its battery.	指令盘中分配给电池的空间过多。		
Career.Validation.CommandGyroscopesTooLarge	There's too much volume in the command disc dedicated to its gyroscopes.	指令盘中分配给陀螺仪的空间过多。		
Career.Validation.CommandPodTooManyStages	This command unit has too many stages assigned.	此指令单元分配的分级过多。		
Career.Validation.CraftTooHeavyForLocation	This craft is too heavy for the selected launch location. {0} > {1}	此载具对所选发射场来说过重。{0} > {1}		
Career.Validation.CraftTooManyParts	Craft has too many parts. {0} > {1}	载具零件过多。{0} > {1}		
Career.Validation.CraftTooTall	Craft is too tall. {0} > {1}	载具过高。{0} > {1}		
Career.Validation.CraftTooTallForLocation	This craft is too tall for the selected launch location. {0} > {1}	此载具对所选发射场来说过高。{0} > {1}		
Career.Validation.CraftTooWide	Craft is too wide. {0} > {1}	载具过宽。{0} > {1}		
Career.Validation.CraftTooWideForLocation	This craft is too wide for the selected launch location. {0} > {1}	此载具对所选发射场来说过宽。{0} > {1}		
Career.Validation.CrewCompartmentNotAvailable	This crew compartment isn't available yet.	此乘员舱尚不可用。		
Career.Validation.CustomCurvesNotAvailable	Custom nose cone curves are not available yet.	自定义头锥曲线尚不可用。		
Career.Validation.DragDisabled	This part has had its drag disabled, use a non-tinkered part.	此零件的阻力已被禁用，请使用未经调整的零件。		
Career.Validation.DragScaleModified	This part has had its drag scale modified, use a non-tinkered part.	此零件的阻力系数已被修改，请使用未经调整的零件。		
Career.Validation.DuplicateContractReference	Too many parts referencing the same contract {0}#{1}.	引用同一合约 {0}#{1} 的零件过多。		
Career.Validation.EngineTypeNotAvailable	{0} engine type is not available yet.	{0} 发动机类型尚不可用。		
